"screen_name","created_at","tweet_id","text","extended_tweet","in_reply_to_screen_name","in_reply_to_status_id","retweet_count","favorite_count","truncated","language","in_reply_to_user_id"
"Cisco","2020-05-06 20:38:00","1258133938381471744","#SMB or large corporation, the need for #security is the same. 🔒 Check out this @TechRepublic article for more insi… https://t.co/a1xhVd5IOA","#SMB or large corporation, the need for #security is the same. 🔒 Check out this @TechRepublic article for more insi… https://t.co/a1xhVd5IOA",,,"7","15",,"en",
"PublicStorage","2020-05-06 20:39:04","1258134207869726721","Honk. Wave. Cheer. Let them know how much we appreciate them on #NationalNursesDay. https://t.co/86l6gvJHrE","Honk. Wave. Cheer. Let them know how much we appreciate them on #NationalNursesDay. https://t.co/86l6gvJHrE",,,"0","1",,"en",
"MarathonPetroCo","2020-05-06 20:40:34","1258134582379110402","We couldn't let today pass without acknowledging our incredible nurses at #MPC today, and to all nurses out there o… https://t.co/uU0pEX5FTs","We couldn't let today pass without acknowledging our incredible nurses at #MPC today, and to all nurses out there o… https://t.co/uU0pEX5FTs",,,"4","20",,"en",
"JackHenryAssoc","2020-05-06 20:41:01","1258134698049617920","#WisdomWednesday Encouraging words to keep in mind. https://t.co/lS6i1uW3aU","#WisdomWednesday Encouraging words to keep in mind. https://t.co/lS6i1uW3aU",,,"0","3",,"en",
"PulteHomes","2020-05-06 20:42:02","1258134952920715265","Does your family collect trash like it's their job? Maybe it's time to try composting! We promise, it isn't as hard… https://t.co/YP40GQwjgJ","Does your family collect trash like it's their job? Maybe it's time to try composting! We promise, it isn't as hard… https://t.co/YP40GQwjgJ",,,"0","6",,"en",
"Nasdaq","2020-05-06 20:44:02","1258135455469637632","Join @Nasdaq's Chief Economist, @phil_mackintosh, and Head of Index Research, Efram Slen, for a webinar tomorrow wi… https://t.co/qdfUjN3ZhQ","Join @Nasdaq's Chief Economist, @phil_mackintosh, and Head of Index Research, Efram Slen, for a webinar tomorrow wi… https://t.co/qdfUjN3ZhQ",,,"0","2",,"en",
"CBOE","2020-05-06 20:44:20","1258135531516579841","Join us, @CMEGroup, @FTSERussell and special guest Steven DeSanctis of @Jefferies to examine the current state of t… https://t.co/DIftOfjssH","Join us, @CMEGroup, @FTSERussell and special guest Steven DeSanctis of @Jefferies to examine the current state of t… https://t.co/DIftOfjssH",,,"2","3",,"en",
"ROKAutomation","2020-05-06 20:45:03","1258135713352044544","We're proud to be named a @DiversityInc Noteworthy Company for the 3rd year in a row. #diversity #DITop50… https://t.co/mEPHQuoDrA","We're proud to be named a @DiversityInc Noteworthy Company for the 3rd year in a row. #diversity #DITop50… https://t.co/mEPHQuoDrA",,,"0","4",,"en",
"SPGlobal","2020-05-06 20:45:11","1258135744532668416","From @SPGlobalRatings: A credit FAQ on the challenging times ahead for Latin American rated entities amid… https://t.co/zOv9Hgf5BB","From @SPGlobalRatings: A credit FAQ on the challenging times ahead for Latin American rated entities amid… https://t.co/zOv9Hgf5BB",,,"0","0",,"en",
"HersheyCompany","2020-05-06 20:45:17","1258135771070042113","We are proud to be #21 on @DiversityInc's Top 50 Companies for Diversity list, as well as #8 on the list for Top Co… https://t.co/c2cW0L764v","We are proud to be #21 on @DiversityInc's Top 50 Companies for Diversity list, as well as #8 on the list for Top Co… https://t.co/c2cW0L764v",,,"2","6",,"en",
"amwater","2020-05-06 20:46:37","1258136107587457026","American Water reports first quarter 2020 results. First Quarter 2020 GAAP diluted earnings were $0.68 per share, c… https://t.co/ZaPOQ7KMxi","American Water reports first quarter 2020 results. First Quarter 2020 GAAP diluted earnings were $0.68 per share, c… https://t.co/ZaPOQ7KMxi",,,"0","4",,"en",
